state,sat_takers_2019,high_school_graduates_2019,sat_participation_rate_2019,source_2019,sat_takers_2018,high_school_graduates_2018,sat_participation_rate_2018,source_2018,sat_takers_2017,high_school_graduates_2017,sat_participation_rate_2017,source_2017
Iowa,994,"35,032",3%,https://reports.collegeboard.org/pdf/2019-iowa-sat-suite-assessments-annual-report.pdf,994,"35,471",3%,https://reports.collegeboard.org/pdf/2018-iowa-sat-suite-assessments-annual-report.pdf,861,"34,791",2%,https://reports.collegeboard.org/pdf/2017-iowa-sat-suite-assessments-annual-report.pdf
Kansas,"1,496","35,484",4%,https://reports.collegeboard.org/pdf/2019-kansas-sat-suite-assessments-annual-report.pdf,"1,419","35,398",4%,https://reports.collegeboard.org/pdf/2018-kansas-sat-suite-assessments-annual-report.pdf,"1,199","34,123",4%,https://reports.collegeboard.org/pdf/2017-kansas-sat-suite-assessments-annual-report.pdf
Kentucky,"2,047","46,380",4%,https://reports.collegeboard.org/pdf/2019-kentucky-sat-suite-assessments-annual-report.pdf,"1,925","46,389",4%,https://reports.collegeboard.org/pdf/2018-kentucky-sat-suite-assessments-annual-report.pdf,"1,608","45,461",4%,https://reports.collegeboard.org/pdf/2017-kentucky-sat-suite-assessments-annual-report.pdf
Louisiana,"2,191","45,047",5%,https://reports.collegeboard.org/pdf/2019-louisiana-sat-suite-assessments-annual-report.pdf,"2,027","46,235",4%,https://reports.collegeboard.org/pdf/2018-louisiana-sat-suite-assessments-annual-report.pdf,"1,696","44,319",4%,https://reports.collegeboard.org/pdf/2017-louisiana-sat-suite-assessments-annual-report.pdf
Maine,"14,210","14,352",99%,https://reports.collegeboard.org/pdf/2019-maine-sat-suite-assessments-annual-report.pdf,"14,310","14,428",99%,https://reports.collegeboard.org/pdf/2018-maine-sat-suite-assessments-annual-report.pdf,"13,826","14,624",95%,https://reports.collegeboard.org/pdf/2017-maine-sat-suite-assessments-annual-report.pdf
Maryland,"51,094","62,688",82%,https://reports.collegeboard.org/pdf/2019-maryland-sat-suite-assessments-annual-report.pdf,"48,040","63,485",76%,https://reports.collegeboard.org/pdf/2018-maryland-sat-suite-assessments-annual-report.pdf,"42,919","62,009",69%,https://reports.collegeboard.org/pdf/2017-maryland-sat-suite-assessments-annual-report.pdf-0
Massachusetts,"59,671","73,564",81%,https://reports.collegeboard.org/pdf/2019-massachusetts-sat-suite-assessments-annual-report.pdf,"59,382","73,992",80%,https://reports.collegeboard.org/pdf/2018-massachusetts-sat-suite-assessments-annual-report.pdf,"56,024","73,335",76%,https://reports.collegeboard.org/pdf/2017-massachusetts-sat-suite-assessments-annual-report.pdf
Michigan,"113,724","103,250",100%,https://reports.collegeboard.org/pdf/2019-michigan-sat-suite-assessments-annual-report.pdf,"115,281","104,586",100%,https://reports.collegeboard.org/pdf/2018-michigan-sat-suite-assessments-annual-report.pdf,"110,082","102,997",100%,https://reports.collegeboard.org/pdf/2017-michigan-sat-suite-assessments-annual-report.pdf
Minnesota,"2,567","62,303",4%,https://reports.collegeboard.org/pdf/2019-minnesota-sat-suite-assessments-annual-report.pdf,"2,464","61,766",4%,https://reports.collegeboard.org/pdf/2018-minnesota-sat-suite-assessments-annual-report.pdf,"2,061","60,915",3%,https://reports.collegeboard.org/pdf/2017-minnesota-sat-suite-assessments-annual-report.pdf
Mississippi,781,"28,885",3%,https://reports.collegeboard.org/pdf/2019-mississippi-sat-suite-assessments-annual-report.pdf,806,"29,788",3%,https://reports.collegeboard.org/pdf/2018-mississippi-sat-suite-assessments-annual-report.pdf,716,"28,761",2%,https://reports.collegeboard.org/pdf/2017-mississippi-sat-suite-assessments-annual-report.pdf
Missouri,"2,644","68,513",4%,https://reports.collegeboard.org/pdf/2019-missouri-sat-suite-assessments-annual-report.pdf,"2,420","68,681",4%,https://reports.collegeboard.org/pdf/2018-missouri-sat-suite-assessments-annual-report.pdf,"1,990","67,196",3%,https://reports.collegeboard.org/pdf/2017-missouri-sat-suite-assessments-annual-report.pdf
